,TITLE,POSTED DATE,PRICE,BEDS,BATHS,SQUARE FOOT,ADDRESS,FEATURES,LATITUDE,LONGITUDE,IMAGE LINK
72,You'll LOVE our luxury apartments! Lease today,Mar  6,2860,560,2,,,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment ,34.069900,-118.349200,https://images.craigslist.org/00T0T_jluoraEjrfA_600x450.jpg
73,**Private rooms for rent @ spacious 3Bed/1Bath shared unit near parks!,Mar  6,1028,,,,,1. apartment ,34.100500,-118.325400,https://images.craigslist.org/00l0l_xNcDtTouIz_600x450.jpg
74,Stunning 2X2 Top Floor Hollywood Hills View!!,Mar  6,3399,2,2,1132,5600 Wilshire,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. attached garage ,34.060944,-118.351121,https://images.craigslist.org/01010_2y2mJnmkiEX_600x450.jpg
75,"Very open 2x2 home with tons of natural light! Pool, gym & hot tub!",Mar  6,2681,2,2,1175,333 S Catalina St,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. carport 6. wheelchair accessible ,34.068641,-118.295528,https://images.craigslist.org/00g0g_evUqRO3Omgc_600x450.jpg
76,LOS FELIZ $$$1895.00$$$  1bed/1bath,Mar  6,1895,1,1,715,1965 Rodney Dr,1. cats are OK - purrr 2. apartment 3. laundry in bldg 4. attached garage 5. wheelchair accessible ,34.106846,-118.288909,https://images.craigslist.org/00x0x_j2tKo7EnM88_600x450.jpg
77,Home Sweet Home! Call and Reserve Today!,Mar  6,1625,0,1,440,101 Bridewell Street,1. apartment 2. laundry on site 3. carport ,34.113208,-118.177105,https://images.craigslist.org/00g0g_1hatVUg0iYS_600x450.jpg
78,"New 1 Bedroom in Downtown LA, Full-Size W/D, Fitness Center",Mar  6,2600,1,1,833,1249 e. grand,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking 6. detached garage 7. wheelchair accessible ,33.919213,-118.402480,https://images.craigslist.org/01212_iQVAFzwYJAo_600x450.jpg
79,$2195 / 2BR/1BA  Near USC,Mar  6,2195,2,1,1000,1126 W. Vernon Ave.,1. duplex 2. no laundry on site 3. detached garage ,34.003613,-118.294808,https://images.craigslist.org/00q0q_cXMRbgcbrjw_600x450.jpg
80,"1 bed, 1 bath, 18th floor facing east view of DTLA and City Hall",Mar  6,2451,1,1,704,3rd street at Figueroa St,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. attached garage ,34.055615,-118.254545,https://images.craigslist.org/00V0V_3SUWFrZawzO_600x450.jpg
81,Fully Furnished Luxury Penthouse - Rates are Negotiable,Mar  6,9431,,,,,1. cats are OK - purrr 2. dogs are OK - wooof 3. furnished 4. apartment 5. w/d in unit 6. valet parking 7. wheelchair accessible ,34.055900,-118.266600,https://images.craigslist.org/00M0M_c99MMHVo9xm_600x450.jpg
82,Fully Furnished Luxury Penthouse - Rates are Negotiable,Mar  6,9431,,,,,1. cats are OK - purrr 2. dogs are OK - wooof 3. furnished 4. apartment 5. w/d in unit 6. valet parking 7. wheelchair accessible ,34.055900,-118.266600,https://images.craigslist.org/00M0M_c99MMHVo9xm_600x450.jpg
83,1920's Charming Craftsman Casita! Remodeled 1+1+Hardwood Floors,Mar  6,1800,1,1,,N. Fairfax Ave at Santa Monica Blvd,1. apartment 2. laundry on site 3. street parking ,34.090809,-118.361711,https://images.craigslist.org/00U0U_dxtzYtuYX4f_600x450.jpg
84,Fully Furnished Luxury Penthouse - Rates are Negotiable,Mar  6,9431,,,,,1. cats are OK - purrr 2. dogs are OK - wooof 3. furnished 4. apartment 5. w/d in unit 6. valet parking 7. wheelchair accessible ,34.055900,-118.266600,https://images.craigslist.org/00M0M_c99MMHVo9xm_600x450.jpg
85,Fully Furnished Luxury Penthouse - Rates are Negotiable,Mar  6,9431,,,,,1. cats are OK - purrr 2. dogs are OK - wooof 3. furnished 4. apartment 5. w/d in unit 6. valet parking 7. wheelchair accessible ,34.055900,-118.266600,https://images.craigslist.org/00M0M_c99MMHVo9xm_600x450.jpg
86,Downtown Los Angeles Loft For Rent - top floors beautiful views,Mar  6,4975,2,2,1580,801 S Grand Ave,1. condo 2. w/d in unit 3. attached garage ,34.043553,-118.259218,https://images.craigslist.org/00909_lXIQeyfcWeh_600x450.jpg
87,West Hollywood Hills Art Deco 1+1+Hardwood Floors+PARKING,Mar  6,1850,1,1,,N. Hayworth Ave. at Sunset Blvd,1. cats are OK - purrr 2. apartment 3. off-street parking ,34.083713,-118.362812,https://images.craigslist.org/00o0o_c2HkbX4b6wl_600x450.jpg
88,One Bedroom Available in Pet Friendly Building!,Mar  6,2075,0,1,,9th at Broadway,1. cats are OK - purrr 2. dogs are OK - wooof 3. loft 4. laundry on site 5. wheelchair accessible ,34.042312,-118.256007,https://images.craigslist.org/00i0i_73SQPy5W1gq_600x450.jpg
89,$500 OFF FIRST MONTH'S RENT!!  COME TOUR OUR LAST 1 BED WITH BALCONY!,Mar  6,1870,1,1,484,900 S Irolo St,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. no smoking 6. off-street parking 7. wheelchair accessible ,34.056211,-118.300808,https://images.craigslist.org/00q0q_9kaY0UhhVxG_600x450.jpg
